epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,166.298,0.90207,0.51616,0.00758,0.79643,0.77866,0.84675,0.53398,1.4648,0.81411,0.0106,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,171.6,0.90114,0.50239,0.0074,0.82821,0.71607,0.80829,0.51344,1.51037,0.8461,0.01081,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,176.89,0.89993,0.50175,0.00742,0.82749,0.7403,0.82053,0.53353,1.49521,0.89034,0.01077,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,182.161,0.8918,0.49318,0.00733,0.82868,0.72633,0.79803,0.54482,1.45595,0.95704,0.0105,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,187.444,0.89277,0.49963,0.00736,0.79291,0.71629,0.78201,0.50055,1.50778,0.89092,0.01117,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,192.725,0.88806,0.48533,0.00724,0.86727,0.75933,0.85266,0.5399,1.5318,0.87999,0.01088,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,198.021,0.89385,0.49314,0.00743,0.80045,0.72387,0.80445,0.52632,1.50708,0.96307,0.01135,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,203.32,0.88975,0.48738,0.00735,0.80449,0.69982,0.76475,0.48797,1.6688,0.88041,0.01237,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,208.629,0.88038,0.47232,0.00727,0.86351,0.74767,0.82018,0.54151,1.48197,0.77936,0.01011,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,213.891,0.88117,0.47604,0.00721,0.84669,0.755,0.83128,0.54719,1.48317,1.0443,0.00993,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,219.183,0.88658,0.47669,0.00722,0.75133,0.74332,0.77695,0.5225,1.45034,0.91693,0.01047,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,224.468,0.87658,0.47067,0.00716,0.81717,0.72027,0.79931,0.53006,1.46105,0.94698,0.01053,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,229.761,0.88182,0.47337,0.00718,0.86554,0.69932,0.7988,0.55306,1.43247,0.98883,0.00969,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,235.047,0.87444,0.47783,0.00718,0.78529,0.60513,0.70376,0.45665,1.73648,1.32585,0.01338,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,240.335,0.8608,0.46372,0.00708,0.78688,0.7583,0.8014,0.53293,1.47055,0.91576,0.0109,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,245.624,0.85729,0.45018,0.00702,0.82698,0.78764,0.85158,0.56585,1.37253,0.73823,0.01001,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,250.926,0.86897,0.47615,0.007,0.77827,0.65039,0.72625,0.46109,1.63336,0.94279,0.013,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,256.22,0.8598,0.44887,0.00701,0.79664,0.6221,0.66985,0.43539,1.78143,1.15724,0.01424,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,261.51,0.86189,0.4611,0.007,0.78783,0.76427,0.7882,0.50679,1.48227,0.84123,0.01031,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,266.8,0.85692,0.46592,0.00701,0.83264,0.69565,0.76856,0.51215,1.5449,0.89352,0.0112,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,272.069,0.85324,0.44705,0.00689,0.89121,0.78453,0.86124,0.56527,1.46526,0.81689,0.01044,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,277.357,0.86267,0.45667,0.00704,0.7844,0.72237,0.81084,0.53989,1.44438,0.98275,0.00988,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,282.639,0.84133,0.45244,0.00692,0.82643,0.74572,0.82162,0.53565,1.46909,0.84464,0.01041,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,287.92,0.85609,0.44937,0.00699,0.85128,0.75171,0.8137,0.53456,1.52657,0.8395,0.01108,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,293.202,0.84743,0.44902,0.00699,0.76344,0.74995,0.78493,0.50816,1.55185,0.89747,0.01077,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,298.49,0.83778,0.4478,0.0069,0.80287,0.74433,0.83894,0.54169,1.49126,1.02223,0.01139,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,303.767,0.8436,0.44489,0.00693,0.76784,0.71045,0.77654,0.51437,1.52342,1.01663,0.01137,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,309.041,0.8364,0.44401,0.00688,0.84654,0.7974,0.8634,0.55987,1.44061,0.79031,0.01114,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,314.314,0.84947,0.44885,0.00689,0.82385,0.76175,0.82009,0.49927,1.63569,0.90849,0.01204,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,319.628,0.84121,0.43769,0.00671,0.81331,0.66506,0.74109,0.46838,1.69825,0.92088,0.01284,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,324.916,0.83553,0.43259,0.00676,0.872,0.78581,0.86871,0.56069,1.48749,0.81374,0.01072,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,330.196,0.83868,0.43125,0.00671,0.85217,0.79007,0.87264,0.58611,1.39645,0.68117,0.00907,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,335.48,0.82783,0.42707,0.00678,0.84844,0.74966,0.82292,0.54289,1.4702,0.83449,0.01023,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,340.803,0.82895,0.42633,0.00681,0.80199,0.70359,0.7524,0.50642,1.47047,1.11865,0.01041,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,346.082,0.82686,0.43236,0.00674,0.77501,0.7619,0.78453,0.52914,1.53648,0.9081,0.01073,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,351.368,0.81494,0.42287,0.00662,0.85509,0.79123,0.85815,0.58466,1.3907,0.77129,0.00935,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,356.631,0.83252,0.43142,0.00665,0.86013,0.7583,0.84852,0.55528,1.48495,0.83618,0.01117,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,361.946,0.82124,0.42202,0.00657,0.8202,0.74515,0.78949,0.51419,1.5648,0.81404,0.01097,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,367.24,0.80804,0.41876,0.00669,0.82832,0.73288,0.7897,0.52054,1.49883,0.992,0.01142,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,372.512,0.82562,0.42608,0.00667,0.84027,0.70939,0.77953,0.52496,1.5283,1.12234,0.01184,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,377.789,0.81205,0.41562,0.00656,0.77039,0.77563,0.80423,0.54546,1.43686,1.01744,0.00988,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,383.088,0.80722,0.42282,0.00652,0.88125,0.82469,0.9024,0.59255,1.40566,0.70486,0.00958,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,388.398,0.80576,0.42258,0.00647,0.83685,0.82602,0.86355,0.53575,1.51412,0.76906,0.01165,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,393.681,0.79952,0.40362,0.00646,0.82462,0.80873,0.86145,0.58094,1.36647,0.72617,0.00975,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,398.932,0.80138,0.40072,0.00644,0.82321,0.78809,0.82846,0.54223,1.47298,0.85293,0.01075,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,404.212,0.80123,0.41048,0.00645,0.85647,0.77591,0.86093,0.55793,1.4018,0.89196,0.00985,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,409.445,0.80234,0.41971,0.00652,0.80052,0.57437,0.64461,0.41194,1.77369,1.39526,0.01476,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,414.739,0.7962,0.40596,0.00637,0.84879,0.75519,0.82986,0.54262,1.48253,0.78426,0.01037,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,420.029,0.79999,0.40977,0.00651,0.83909,0.78232,0.82184,0.56305,1.3902,0.83462,0.00934,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,425.288,0.79704,0.41285,0.00647,0.87762,0.7781,0.8403,0.55484,1.42728,0.70003,0.01021,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,430.57,0.79341,0.40583,0.00647,0.78252,0.80053,0.84327,0.56709,1.40144,0.71774,0.00943,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,435.869,0.79831,0.40728,0.00647,0.80876,0.70079,0.75878,0.50964,1.50995,1.07126,0.01073,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,441.146,0.79618,0.40317,0.00641,0.78773,0.68086,0.73377,0.49591,1.5626,1.00512,0.01176,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,446.416,0.77847,0.39343,0.00618,0.85697,0.7735,0.8456,0.57266,1.45207,0.74766,0.01005,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,451.69,0.77834,0.38919,0.00618,0.87091,0.80243,0.86317,0.58405,1.38445,0.77922,0.00975,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,456.967,0.76853,0.38715,0.00607,0.83038,0.80405,0.85458,0.55434,1.44086,0.76457,0.01033,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,462.239,0.77452,0.3946,0.00624,0.77448,0.71502,0.7785,0.53913,1.45933,0.85827,0.01066,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,467.506,0.76795,0.38599,0.00613,0.87055,0.77187,0.85309,0.56547,1.42003,0.74025,0.00972,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,472.794,0.77734,0.39652,0.00622,0.80554,0.74938,0.82864,0.55708,1.41979,0.77294,0.01045,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,478.072,0.77591,0.39965,0.00615,0.82381,0.77259,0.80395,0.56729,1.38987,0.8394,0.0096,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,483.315,0.77332,0.39488,0.00614,0.8508,0.74592,0.79926,0.56596,1.40105,0.85254,0.00976,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,488.569,0.77393,0.38495,0.00618,0.86691,0.7906,0.84258,0.57443,1.42944,0.78578,0.00976,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,493.829,0.76419,0.37684,0.00605,0.88907,0.79913,0.84852,0.5842,1.41658,0.78673,0.00984,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,499.105,0.75858,0.38375,0.00597,0.83407,0.79018,0.83552,0.55573,1.38589,0.81353,0.00952,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,504.402,0.76332,0.38854,0.00609,0.8397,0.77492,0.84566,0.56318,1.45808,0.80589,0.01035,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,509.705,0.76236,0.38617,0.00608,0.89869,0.77791,0.85861,0.56892,1.42209,0.68559,0.00958,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,514.986,0.76115,0.39289,0.00606,0.9041,0.81901,0.87528,0.58853,1.39417,0.66753,0.00969,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,520.238,0.74038,0.37637,0.00589,0.87405,0.76607,0.81671,0.5708,1.42075,0.82923,0.0101,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,525.511,0.75126,0.37707,0.0059,0.89282,0.80678,0.88189,0.61253,1.37035,0.74207,0.00908,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,530.806,0.75615,0.38424,0.00589,0.86659,0.81681,0.8637,0.59945,1.35703,0.62561,0.00902,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,536.095,0.7473,0.38335,0.00586,0.88144,0.80501,0.87072,0.58802,1.39537,0.68597,0.00976,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,541.397,0.7533,0.38379,0.00602,0.85472,0.80162,0.86319,0.58617,1.37259,0.65996,0.00932,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
